,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
172,changji,44.02,87.32,298.15,47,11,3,CN,1595706692
173,maniitsoq,65.42,-52.9,280.55,94,100,5.49,GL,1595706692
174,soweto,-26.27,27.86,282.15,57,0,2.1,ZA,1595706692
175,bilma,18.69,12.92,305.97,12,23,0.75,NE,1595706692
176,kozhevnikovo,56.26,83.97,285.27,94,0,1.24,RU,1595706692
177,mount isa,-20.73,139.5,287.15,44,0,8.2,AU,1595706693
178,kamenka,51.32,42.77,288.71,62,1,1.46,RU,1595706693
179,ostrovnoy,68.05,39.51,288.63,79,60,3.43,RU,1595706693
180,yar-sale,66.83,70.83,284.52,84,57,2.22,RU,1595706693
181,barranquilla,10.96,-74.8,302.15,70,75,2.1,CO,1595706524
182,chuy,-33.7,-53.46,283.14,70,0,3.91,UY,1595706693
183,provideniya,64.38,-173.3,284.82,63,67,3.48,RU,1595706693
184,tromso,69.65,18.96,289.15,63,40,8.7,NO,1595706693
185,mananara,-16.17,49.77,292.27,83,60,4.21,MG,1595706694
186,beaver dam,43.46,-88.84,304.26,74,40,4.1,US,1595706570
187,kieta,-6.22,155.63,298.67,78,99,1.37,PG,1595706694
188,necochea,-38.55,-58.74,283.71,69,86,3.58,AR,1595706694
189,savannah bight,16.45,-85.85,301.96,78,48,10.04,HN,1595706694
190,buala,-8.14,159.59,300.2,81,100,5.17,SB,1595706694
191,mrirt,,,,,,,,
192,orumiyeh,37.55,45.08,294.15,64,0,4.1,IR,1595706554
193,moose factory,51.26,-80.61,300.15,78,75,3.1,CA,1595706694
194,vardo,70.37,31.11,287.05,80,0,5.83,NO,1595706696
195,qaqortoq,60.72,-46.03,283.15,81,75,4.1,GL,1595706696
196,porto torres,40.84,8.4,298.15,88,0,0.5,IT,1595706696
197,kahului,20.89,-156.47,304.15,48,40,6.2,US,1595706696
198,tumannyy,,,,,,,,
199,nizhneyansk,,,,,,,,
200,alexandria,31.22,29.96,299.15,78,0,3.1,EG,1595706498
201,lagoa,39.05,-27.98,295.51,89,0,7.02,PT,1595706696
202,turayf,31.67,38.66,304.15,19,0,3.1,SA,1595706696
203,klaksvik,62.23,-6.59,284.15,93,100,9.8,FO,1595706697
204,san alberto,7.76,-73.39,302.52,66,86,1.13,CO,1595706697
205,talnakh,69.49,88.4,282.15,81,0,9,RU,1595706697
206,pacific grove,36.62,-121.92,296.48,68,1,4.6,US,1595706697
207,san luis,-33.3,-66.34,287.47,29,58,6.8,AR,1595706429
208,bunia,1.57,30.25,291.32,92,100,0.84,CD,1595706697
209,karratha,-20.74,116.85,291.7,35,89,6.56,AU,1595706404
210,wahran,,,,,,,,
211,cherskiy,68.75,161.3,297.21,52,0,2.53,RU,1595706697
212,inderborskiy,,,,,,,,
213,kuching,1.55,110.33,298.15,94,40,0.5,MY,1595706647
214,vila,42.03,-8.16,295.93,82,40,1.5,PT,1595706698
215,attawapiskat,,,,,,,,
216,tiksi,71.69,128.87,277.45,96,100,8.23,RU,1595706698
217,yumen,40.28,97.2,295.45,21,0,3.91,CN,1595706698
